,Lat,Long,Fire
681,17.002678,13.835907,1.6314715
682,16.972197,14.125156,1.6231328
683,16.94284,14.399978,1.6307324
684,16.914509,14.661863,1.6233951
685,16.887142,14.911777,0.58188736
686,16.860672,15.15079,0.5866617
687,16.835026,15.379893,1.6401082
688,16.810173,15.599653,1.6198635
689,16.786022,15.811133,1.641944
690,16.762531,16.01492,1.7554849
691,16.739662,16.211565,1.6640186
692,16.717398,16.401394,1.617974
693,16.69569,16.584984,0.55224895
694,16.674505,16.762756,0.5266696
695,16.653814,16.935078,0.4774809
696,16.633572,17.102442,0.4875481
697,16.613785,17.264902,0.50546825
698,16.594412,17.422892,0.5264014
699,16.575415,17.576822,0.54409504
700,16.556782,17.726864,1.6486883
701,16.53849,17.873222,1.6661316
702,16.520521,18.016186,1.6504407
703,16.502876,18.155754,1.608491
704,16.485523,18.292223,1.6115427
705,16.468452,18.42577,1.6212702
706,16.451641,18.556595,1.7034471
707,16.435083,18.684765,1.6264439
708,16.418756,18.81051,1.8034011
709,16.402647,18.933983,1.8186778
710,16.386745,19.055283,1.6763598
711,16.371061,19.174366,1.7132729
712,16.355564,19.291496,1.6587257
713,16.340246,19.406748,1.6209245
714,16.325092,19.520264,1.6133338
715,16.31009,19.632185,1.6314566
716,16.295237,19.742496,1.6188085
717,16.280518,19.851368,0.6242633
718,16.26594,19.958763,2.8607845
719,16.251484,20.064842,0.6308913
720,16.237139,20.169691,1.5902758
721,16.222898,20.273378,1.5984952
722,16.20876,20.375942,1.5744209
723,16.194712,20.477459,1.5883833
724,16.180748,20.577995,0.62642694
725,16.166862,20.677618,2.8563232
726,16.153044,20.776405,2.7799935
727,16.139286,20.874413,2.9091537
728,16.125582,20.971699,2.929145
729,16.111927,21.06831,2.839309
730,16.098312,21.16431,0.66447556
731,16.084738,21.2597,0.6253302
732,16.07119,21.354584,1.5927374
733,16.057673,21.448977,1.5719563
734,16.04417,21.542936,1.5573204
735,16.030678,21.63653,1.5688926
736,16.017195,21.729769,1.5807897
737,16.003712,21.822723,1.6169637
738,15.990221,21.91542,1.6427934
739,15.976722,22.007908,1.6647458
740,15.9632015,22.100246,1.6337037
741,15.949661,22.192451,1.6935229
742,15.9360895,22.284586,1.5978396
743,15.922483,22.376686,1.5752286
744,15.908834,22.46878,1.627621
745,15.895138,22.560946,1.6071051
746,15.881389,22.65318,1.5831232
747,15.867572,22.74561,1.553458
748,15.853683,22.838247,1.5662313
749,15.83972,22.931124,1.5685678
750,15.825672,23.024277,1.6556144
751,15.811534,23.11776,0.6054938
752,15.797295,23.21164,1.7147183
753,15.782956,23.305908,1.6573697
754,15.768501,23.400658,1.6588986
755,15.753916,23.49601,0.63919723
756,15.739208,23.59187,0.6236404
757,15.724362,23.688353,1.7301798
758,15.709368,23.785515,1.6322404
759,15.694218,23.883408,1.695922
760,15.678909,23.982046,1.6071677
761,15.66342,24.081547,1.5783042
762,15.647733,24.182035,1.6169548
763,15.631876,24.283297,1.6224205
764,15.615814,24.385578,0.5872607
765,15.5995245,24.489006,0.60662925
766,15.582969,24.593815,1.5484571
767,15.566191,24.699707,1.5960038
768,15.549182,24.80673,1.6213745
769,15.5319195,24.915012,1.533702
770,15.514334,25.024996,1.6005337
771,15.496423,25.136667,1.5533954
772,15.478179,25.250067,1.5381128
773,15.459734,25.364319,0.6314993
774,15.440867,25.480831,2.8055162
775,15.421673,25.598976,0.6445557
776,15.401893,25.720371,1.6507655
777,15.381643,25.844238,0.6083846
778,15.36104,25.969826,0.65908134
